room,alias,question,answer
umNlt,A5P12YJP805RG,1,40%
iJ7WZ,A301GDXHTJNAO,1,40%
umNlt,A5P12YJP805RG,2,No
iJ7WZ,A301GDXHTJNAO,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
iJ7WZ,A301GDXHTJNAO,5,DefiniteNo
iJ7WZ,A301GDXHTJNAO,3,Higher
umNlt,AWB75Q7MKORHP,1,40%
iJ7WZ,A301GDXHTJNAO,2,No
iJ7WZ,A301GDXHTJNAO,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
iJ7WZ,A301GDXHTJNAO,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
umNlt,AWB75Q7MKORHP,4,"Accept - true, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
umNlt,A5P12YJP805RG,3,Higher
umNlt,AWB75Q7MKORHP,5,DefiniteNo
umNlt,AWB75Q7MKORHP,3,Higher
umNlt,AWB75Q7MKORHP,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
umNlt,A5P12YJP805RG,4,"Accept - false, MixBlue - true, MixRed - false, Reject - true, Unclear - false,"
umNlt,AWB75Q7MKORHP,2,Yes
umNlt,AWB75Q7MKORHP,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
umNlt,AWB75Q7MKORHP,2,No
umNlt,A5P12YJP805RG,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
iJ7WZ,kimbaka,1,40%
umNlt,A5P12YJP805RG,5,DefiniteNo
iJ7WZ,kimbaka,5,DefiniteNo
iJ7WZ,kimbaka,3,Higher
iJ7WZ,kimbaka,2,No
iJ7WZ,kimbaka,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
iJ7WZ,kimbaka,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
iJ7WZ,kimbaka,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
tQ79F,AFRJKS3Z3H4CA,1,40%
tQ79F,bx888,1,40%
tQ79F,bx888,5,DefiniteNo
tQ79F,bx888,5,Unclear
tQ79F,bx888,2,No
tQ79F,AFRJKS3Z3H4CA,4,"Accept - false, MixBlue - true, MixRed - false, Reject - true, Unclear - false,"
tQ79F,bx888,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
tQ79F,bx888,4,"Accept - false, MixBlue - false, MixRed - true, Reject - true, Unclear - false,"
tQ79F,bx888,4,"Accept - false, MixBlue - true, MixRed - false, Reject - true, Unclear - false,"
tQ79F,AFRJKS3Z3H4CA,5,DefiniteNo
tQ79F,bx888,3,Higher
tQ79F,AFRJKS3Z3H4CA,2,No
tQ79F,AFRJKS3Z3H4CA,5,Unclear
tQ79F,AFRJKS3Z3H4CA,3,Higher
tQ79F,Qsnipe64,1,40%
tQ79F,Qsnipe64,4,"Accept - false, MixBlue - true, MixRed - false, Reject - true, Unclear - false,"
tQ79F,Qsnipe64,5,Unclear
tQ79F,Qsnipe64,2,No
tQ79F,Qsnipe64,3,Higher
H0eI9,A1E4CVMKNX3ZCH,1,40%
H0eI9,A1E4CVMKNX3ZCH,3,Higher
H0eI9,A1E4CVMKNX3ZCH,2,No
H0eI9,A1E4CVMKNX3ZCH,5,DefiniteNo
H0eI9,A4EEVK4PD4NOC,1,40%
H0eI9,A4EEVK4PD4NOC,2,No
H0eI9,A4EEVK4PD4NOC,4,"Accept - false, MixBlue - false, MixRed - true, Reject - true, Unclear - false,"
H0eI9,A4EEVK4PD4NOC,5,DefiniteNo
H0eI9,A1E4CVMKNX3ZCH,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
H0eI9,A1E4CVMKNX3ZCH,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
H0eI9,A1E4CVMKNX3ZCH,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
H0eI9,A4EEVK4PD4NOC,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
H0eI9,A4EEVK4PD4NOC,3,Lower
H0eI9,A4EEVK4PD4NOC,3,Higher
dkIZ2,12:15-12:20,1,60%
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - true, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,5,DefiniteYes
dkIZ2,12:15-12:20,2,Yes
